set outgoing email's subject to current email's subject,"(unknownCommand)"
copy current email's subject,"(unknownCommand)"
yes,"(unknownCommand)"
copy current email's subject field,"(unknownCommand)"
end,"(unknownCommand)"
end,"(unknownCommand)"
end,"(unknownCommand)"
kill  me please,"(unknownCommand)"
forget all commands,"(unknownCommand)"
forget all concepts,"(unknownCommand)"
fdisk,"(unknownCommand)"
cd,"(unknownCommand)"
cd,"(unknownCommand)"
help,"(unknownCommand)"
read email,"(unknownCommand)"
forward email,"(unknownCommand)"
set outgoing email's recipient field to charlieisasleep4@myworkplace.com,"(unknownCommand)"
change recipient to charlieisaasleep4@myworkplce.com,"(unknownCommand)"
list fields,"(unknownCommand)"
list outgoing email's fields,"(unknownCommand)"
yes,"(unknownCommand)"
list fields for outgoing email,"(unknownCommand)"
diaf,"(unknownCommand)"
cancel,"(unknownCommand)"
cancel,"(unknownCommand)"
tell me commands,"(unknownCommand)"
list commands,"(unknownCommand)"
previous email,"(unknownCommand)"
read email,"(unknownCommand)"
forward incoming email,"(unknownCommand)"
set outgoing email's "recipient list" to charlieisasleep4@myworkplace.com,"(unknownCommand)"
send email to charlieisasleep4@myworkplace.com,"(unknownCommand)"
set email,"(unknownCommand)"
change recipient,"(unknownCommand)"
change emails recipient,"(unknownCommand)"
change the fucking email is what I want you to do,"(unknownCommand)"
change the outgoing email charlieisasleep4@myworkplace.com,"(unknownCommand)"
set outgoing email's to charlie,"(unknownCommand)"
set outgoing email's to charlieisasleep4@myworkplace.com,"(unknownCommand)"
yes,"(unknownCommand)"
cancle,"(unknownCommand)"
end,"(unknownCommand)"
cancel,"(unknownCommand)"
change recipient,"(unknownCommand)"
set outgoing email's recipient list to charlieisasleep4@myworkplace.com,"(unknownCommand)"
yes,"(unknownCommand)"
change outgoing email's recipient,"(unknownCommand)"
create a contact for charlie,"(unknownCommand)"
cancel,"(unknownCommand)"
create a contact for charlie,"(unknownCommand)"
restart,"(unknownCommand)"
send new email to charlieisasleep4@myworkplace.com,"(unknownCommand)"
cancle,"(unknownCommand)"
end,"(unknownCommand)"
read new email,"(unknownCommand)"
create new email,"(unknownCommand)"
create new outgoing email,"(unknownCommand)"
set outgoing email's subject to Charlie,"(unknownCommand)"
set outgoing email's subject field to Charlie,"(unknownCommand)"
set subject field to  charlie,"(unknownCommand)"
set outgoing email's subject to current email's subject,"(unknownCommand)"
forward current email,"(unknownCommand)"
outgoing email's recipient is charlieisasleep4@myworkplace.com,"(unknownCommand)"
send outgoing email to charlieiasleep4@myworkplace.com,"(unknownCommand)"
set email's recipient to charlieisasleep4@myworkplace.com,"(unknownCommand)"
read current email,"(unknownCommand)"
save sender,"(unknownCommand)"
save sender field,"(unknownCommand)"
create new email to charlieisasleep4@myworkplace.com,"(unknownCommand)"
no,"(unknownCommand)"
create new contact,"(unknownCommand)"
set contact's email to charlieisasleep4@myworkplace.com,"(unknownCommand)"
create contact for charlie,"(unknownCommand)"
create new contact1,"(unknownCommand)"
add email field to contact1,"(unknownCommand)"
edit concept contact1,"(unknownCommand)"
add email field  to contact,"(unknownCommand)"
add email field to contact1,"(unknownCommand)"
create new concept,"(unknownCommand)"
add email field,"(unknownCommand)"
create new Charlie,"(unknownCommand)"
add email field to charlie,"(unknownCommand)"
yes,"(unknownCommand)"
add field to concept charlie,"(unknownCommand)"
change charlie's field to email,"(unknownCommand)"
create new field in concept charlie,"(unknownCommand)"
copy concept contact,"(unknownCommand)"
create new concept,"(unknownCommand)"
create new charlieisasleep4@myworkplace.com,"(unknownCommand)"
define charlie,"(unknownCommand)"
define the concept charlie,"(unknownCommand)"
define charlie1,"(unknownCommand)"
add email field to charlie1,"(unknownCommand)"
add email field to concept charlie1,"(unknownCommand)"
